query,context,response
Getting Started?,https://support.payever.org/hc/en-us/articles/360013450500-Navigate-through-the-payever-dashboard,https://support.payever.org/hc/en-us/articles/360013450500-Navigate-through-the-payever-dashboard
Getting Started?,https://support.payever.org/hc/en-us/articles/9745946743708-Basic-procedure-Guidance-for-employees,https://support.payever.org/hc/en-us/articles/9745946743708-Basic-procedure-Guidance-for-employees
Getting Started?,https://support.payever.org/hc/en-us/articles/6699730902044-Adding-multiple-businesses,https://support.payever.org/hc/en-us/articles/6699730902044-Adding-multiple-businesses
Getting Started?,https://support.payever.org/hc/en-us/articles/360013623379-Apps-and-Widget-configuration,https://support.payever.org/hc/en-us/articles/360013623379-Apps-and-Widget-configuration
Getting Started?,https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership
Getting Started?,navigate through the payever dashboard,navigate through the payever dashboard
Getting Started?,basic procedure - guidance for employees,basic procedure - guidance for employees
Getting Started?,adding multiple businesses,adding multiple businesses
Getting Started?,apps and widget configuration,apps and widget configuration
Getting Started?,handing over business ownership,handing over business ownership
Account Safety?,https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures
Account Safety?,https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions
Account Safety?,https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password
Account Safety?,https://support.payever.org/hc/en-us/articles/5869806591772-Two-factor-authentication-2FA,https://support.payever.org/hc/en-us/articles/5869806591772-Two-factor-authentication-2FA
Account Safety?,https://support.payever.org/hc/en-us/articles/5869846079772-Email-not-received,https://support.payever.org/hc/en-us/articles/5869846079772-Email-not-received
Account Safety?,general safety measures,general safety measures
Account Safety?,security questions,security questions
Account Safety?,reset password,reset password
Account Safety?,two factor authentication (2fa),two factor authentication (2fa)
Account Safety?,email not received,email not received
Navigate through the payever dashboard?,"how to navigate in payever dashboard? first of all, you can install additional applications to support your business. click on uninstalled app, for example shop, a-and it's done. name you new store and add a logo. when you install an application, its widget will automatically appear on the dashboard. to configure your dashboard, click here and bring up the edits window. here you also can install applications and remove them. on the widget tab, you can customize which ones you want to see. and even if there will be a lot, it will still be comfortable! widgets have a button for more detailed information. in the upper right corner you can see some more useful features. it grants you quick access to your lates notifications, which are updates about your business activity. at any time you can see all the notifications for a specific application or configure the visibility for only the latest once. we have an incredible convenient search engine for you. the search is carried out immediately for all the applications you have installed. it will show you where the item is located and divide them into categories. last but not least, there is a dropdown in which you can switch the profile, add a new business, or configure other personal settings. track all aspects of your business in one place.","how to navigate in payever dashboard? first of all, you can install additional applications to support your business. click on uninstalled app, for example shop, a-and it's done. name you new store and add a logo. when you install an application, its widget will automatically appear on the dashboard. to configure your dashboard, click here and bring up the edits window. here you also can install applications and remove them. on the widget tab, you can customize which ones you want to see. and even if there will be a lot, it will still be comfortable! widgets have a button for more detailed information. in the upper right corner you can see some more useful features. it grants you quick access to your lates notifications, which are updates about your business activity. at any time you can see all the notifications for a specific application or configure the visibility for only the latest once. we have an incredible convenient search engine for you. the search is carried out immediately for all the applications you have installed. it will show you where the item is located and divide them into categories. last but not least, there is a dropdown in which you can switch the profile, add a new business, or configure other personal settings. track all aspects of your business in one place."
Navigate through the payever dashboard?,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR
Basic procedure Guidance for employees?,"at payever, we place great emphasis on minimal design and the most intuitive, self-explanatory operation possible. nevertheless, it is normal that it will take a moment for you to get used to the new system. so that you can get started right away without any problems, here is a brief overview of your first steps in payever.","at payever, we place great emphasis on minimal design and the most intuitive, self-explanatory operation possible. nevertheless, it is normal that it will take a moment for you to get used to the new system. so that you can get started right away without any problems, here is a brief overview of your first steps in payever."
Basic procedure Guidance for employees?,registration,registration
Basic procedure Guidance for employees?,"in order to use the payever platform as an employee, you first need an invitation from your employer. you will receive this invitation in the form of a link via email (usually, it will be sent to your personal email address that your employer created for you when you joined the company). the link is valid for a limited time, you should open it within 24 hours of receiving it if possible. if you have not received the link, we recommend that you check your spam folder. occasionally, invitation emails end up there by mistake. if you do not find the email there either, you can ask your storemanager or company management whether an invitation has already been sent to you and check again whether your email address has been stored correctly (e.g. if a typing error has crept into the email address during the invitation process, the invitation email cannot be delivered). please also note that you should not share your personal access link and that you should not accept any external links, otherwise your account cannot be activated. when you have found the invitation in your mailbox, continue with step 1.","in order to use the payever platform as an employee, you first need an invitation from your employer. you will receive this invitation in the form of a link via email (usually, it will be sent to your personal email address that your employer created for you when you joined the company). the link is valid for a limited time, you should open it within 24 hours of receiving it if possible. if you have not received the link, we recommend that you check your spam folder. occasionally, invitation emails end up there by mistake. if you do not find the email there either, you can ask your storemanager or company management whether an invitation has already been sent to you and check again whether your email address has been stored correctly (e.g. if a typing error has crept into the email address during the invitation process, the invitation email cannot be delivered). please also note that you should not share your personal access link and that you should not accept any external links, otherwise your account cannot be activated. when you have found the invitation in your mailbox, continue with step 1."
Basic procedure Guidance for employees?,step 1:,step 1:
Basic procedure Guidance for employees?,"click the link ""activate access now"" in your invitation email (highlighted in red in the image below).","click the link ""activate access now"" in your invitation email (highlighted in red in the image below)."
Basic procedure Guidance for employees?,step 2:,step 2:
Basic procedure Guidance for employees?,"now you can enter your data. your email is already set and usually your name and first name are already entered (however, you can still adjust the name if it should be incorrect). now assign a password and enter it a second time for confirmation.","now you can enter your data. your email is already set and usually your name and first name are already entered (however, you can still adjust the name if it should be incorrect). now assign a password and enter it a second time for confirmation."
Basic procedure Guidance for employees?,attention - your password must meet the following requirements:,attention - your password must meet the following requirements:
Basic procedure Guidance for employees?,now click on register.,now click on register.
Basic procedure Guidance for employees?,step 3:,step 3:
Basic procedure Guidance for employees?,"gratulation, you are now logged in!","gratulation, you are now logged in!"
Basic procedure Guidance for employees?,in the future you can log in again at any time at https://commerceos.payever.org/ with your email address and the password you assigned before.,in the future you can log in again at any time at https://commerceos.payever.org/ with your email address and the password you assigned before.
Basic procedure Guidance for employees?,"your screen may look a little different than the one you see here - which and how many apps you see depends on the access rights your employer has set up for you. as a rule, however, employees will at least have access to the transactions app, in which you can view all transactions/payments of the respective company or branch. if you work in sales or customer service and are expected to independently submit payments or financing applications with and for customers, or even create payment links for customers, you will usually also have access to the pos and/or checkout app. if you work in a managerial position (e.g. as a branch or team leader), you will often also see the app settings/settings here, which you can use, for example, to set a new background image or also invite other colleagues from your company to the account. if you don't see any apps at all (empty dashboard or error message such as ""no data""), your employer has probably forgotten to assign rights to your user. in this case, contact your admin (who this is for the respective company account is always stated in the last sentence of the invitation email) and ask to adjust the access rights of your user in the employee administration accordingly.","your screen may look a little different than the one you see here - which and how many apps you see depends on the access rights your employer has set up for you. as a rule, however, employees will at least have access to the transactions app, in which you can view all transactions/payments of the respective company or branch. if you work in sales or customer service and are expected to independently submit payments or financing applications with and for customers, or even create payment links for customers, you will usually also have access to the pos and/or checkout app. if you work in a managerial position (e.g. as a branch or team leader), you will often also see the app settings/settings here, which you can use, for example, to set a new background image or also invite other colleagues from your company to the account. if you don't see any apps at all (empty dashboard or error message such as ""no data""), your employer has probably forgotten to assign rights to your user. in this case, contact your admin (who this is for the respective company account is always stated in the last sentence of the invitation email) and ask to adjust the access rights of your user in the employee administration accordingly."
Basic procedure Guidance for employees?,"follow the instruction named ""two-factor authentication"" to log in successfully in the future as well.","follow the instruction named ""two-factor authentication"" to log in successfully in the future as well."
Basic procedure Guidance for employees?,we recommend you to read the following articles as well:,we recommend you to read the following articles as well:
Basic procedure Guidance for employees?,information about the two-factor authentification,information about the two-factor authentification
Basic procedure Guidance for employees?,information about the two-factor authentication for the log in,information about the two-factor authentication for the log in
Basic procedure Guidance for employees?,information on how to add a security question to your account,information on how to add a security question to your account
Basic procedure Guidance for employees?,information on how to reset your password,information on how to reset your password
Basic procedure Guidance for employees?,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR
Basic procedure Guidance for employees?,https://support.payever.org/hc/article_attachments/9753195270684,https://support.payever.org/hc/article_attachments/9753195270684
Basic procedure Guidance for employees?,https://support.payever.org/hc/article_attachments/10014589804444,https://support.payever.org/hc/article_attachments/10014589804444
Basic procedure Guidance for employees?,https://support.payever.org/hc/article_attachments/10014612196124,https://support.payever.org/hc/article_attachments/10014612196124
Adding multiple businesses?,"in case you are an ecommerce merchant with multiple online shops or a retailer with multiple physical stores, you may want to add additional businesses to your payever account.","in case you are an ecommerce merchant with multiple online shops or a retailer with multiple physical stores, you may want to add additional businesses to your payever account."
Adding multiple businesses?,"by doing so you can keep your different shops or stores separate from each other, in the sense that each one can be configured differently and you can grant employees/coworkers access to only one or two specific shops/stores, while still being able to access and manage all businesses via your email and password that you have previously registered your company's account with at payever.","by doing so you can keep your different shops or stores separate from each other, in the sense that each one can be configured differently and you can grant employees/coworkers access to only one or two specific shops/stores, while still being able to access and manage all businesses via your email and password that you have previously registered your company's account with at payever."
Adding multiple businesses?,"there is no limit to the number of businesses in the account, you can create as many as you need (even if that's dozens or hundreds of businesses).","there is no limit to the number of businesses in the account, you can create as many as you need (even if that's dozens or hundreds of businesses)."
Adding multiple businesses?,"to create an additional business, please click the hamburger menu in the upper right corner, and choose ""add business"".","to create an additional business, please click the hamburger menu in the upper right corner, and choose ""add business""."
Adding multiple businesses?,"fill out the form and click ""done"". for ""company name"" please make sure to enter something that is unique and contains the name of the shop or store.","fill out the form and click ""done"". for ""company name"" please make sure to enter something that is unique and contains the name of the shop or store."
Adding multiple businesses?,"you will now land on the dashboard of your new business. if you want to switch back to your other business, click the hamburger menu in the upper right corner and select ""switch business"".","you will now land on the dashboard of your new business. if you want to switch back to your other business, click the hamburger menu in the upper right corner and select ""switch business""."
Adding multiple businesses?,"in the future, each time you log in you will be seeing a list of all your businesses and can select which one you want to access. in case you have many business and don't want to scroll that much, you can also use the search field to type in the name (or parts of it) of the business you are looking for.","in the future, each time you log in you will be seeing a list of all your businesses and can select which one you want to access. in case you have many business and don't want to scroll that much, you can also use the search field to type in the name (or parts of it) of the business you are looking for."
Adding multiple businesses?,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR
Adding multiple businesses?,https://support.payever.org/hc/article_attachments/9947050165916,https://support.payever.org/hc/article_attachments/9947050165916
Adding multiple businesses?,https://support.payever.org/hc/article_attachments/9947076270492,https://support.payever.org/hc/article_attachments/9947076270492
Adding multiple businesses?,https://support.payever.org/hc/article_attachments/9947153837980,https://support.payever.org/hc/article_attachments/9947153837980
Adding multiple businesses?,https://support.payever.org/hc/article_attachments/9947178889500,https://support.payever.org/hc/article_attachments/9947178889500
Adding multiple businesses?,https://support.payever.org/hc/article_attachments/9947101351964,https://support.payever.org/hc/article_attachments/9947101351964
Apps and Widget configuration?,"if you only use specific apps from our platform and you find the rest of the applications taking unnecessary space on the dashboard, you may simply hide the apps you don't need. on the contrary you can also add apps that you might need. to do this, click on the edit button in the business apps tab as shown below.","if you only use specific apps from our platform and you find the rest of the applications taking unnecessary space on the dashboard, you may simply hide the apps you don't need. on the contrary you can also add apps that you might need. to do this, click on the edit button in the business apps tab as shown below."
Apps and Widget configuration?,when opening the edit apps page you will be able to manage both the apps and the widgets. you can activate apps that you wish to use by turning on the switch. next if you want the specific app to be display on the dashboard you have to activate the app in the widget page.,when opening the edit apps page you will be able to manage both the apps and the widgets. you can activate apps that you wish to use by turning on the switch. next if you want the specific app to be display on the dashboard you have to activate the app in the widget page.
Apps and Widget configuration?,the apps that you activated will all show in the business apps tile in your dashboard. the applications for which you also activated the widgets will show and be added below the business apps tile.,the apps that you activated will all show in the business apps tile in your dashboard. the applications for which you also activated the widgets will show and be added below the business apps tile.
Apps and Widget configuration?,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR
Apps and Widget configuration?,https://support.payever.org/hc/article_attachments/9947626871324,https://support.payever.org/hc/article_attachments/9947626871324
Apps and Widget configuration?,https://support.payever.org/hc/article_attachments/9947626189596,https://support.payever.org/hc/article_attachments/9947626189596
Apps and Widget configuration?,https://support.payever.org/hc/article_attachments/9947586179868,https://support.payever.org/hc/article_attachments/9947586179868
Handing over business ownership?,"in this article, you can find out how to transfer your business account to another person.","in this article, you can find out how to transfer your business account to another person."
Handing over business ownership?,"to do so, go to the settings of the business that you want to transfer to a different person:","to do so, go to the settings of the business that you want to transfer to a different person:"
Handing over business ownership?,"you will then find the item ""transfer business ownership"" under the menu item ""general"", which you must select:","you will then find the item ""transfer business ownership"" under the menu item ""general"", which you must select:"
Handing over business ownership?,"you can then enter the email address to which the business should be transferred. this email address must already be registered with payever. if the invitation has been sent successfully, the message ""success, invitation sent"" will appear:","you can then enter the email address to which the business should be transferred. this email address must already be registered with payever. if the invitation has been sent successfully, the message ""success, invitation sent"" will appear:"
Handing over business ownership?,the recipient must then click within 24 hours on the link in the email to have the business account transferred to them:,the recipient must then click within 24 hours on the link in the email to have the business account transferred to them:
